track_name,artist_name,artist_id,track_id,popularity,duration_ms,duration_min,time_range,album,release_date,explicit
There It Is - Extended Mix,Shalamar,3REpOYo13YkVj1dFzda12A,19iJY4XBmysrBZabgvfrS4,24,375066,6.25,All time,Friends,1982-01-01,False
Nobody,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,736MgYHdLtKTBKGJTutpGz,46,199173,3.32,All time,Nobody,2020-04-03,False
Soul's Lament - DJ Sneak Remix,Dam Swindle,6hJtgCB3L5cnJSND7sp6GU,1WT3wsrmP44pJJV43Tkiaj,5,538915,8.98,All time,The Round Up Pt. 10,2024-02-09,False
Candy,Cameo,545idYhdloaSlLGBY8E9u2,0Aj8EagrPfDoOe5OlUdrLC,60,339933,5.67,All time,Word Up,1986-01-01,False
My Love,Route 94,1dgdvbogmctybPrGEcnYf6,4N1MFKjziFHH4IS3RYYUrU,77,259933,4.33,All time,My Love,2014-02-28,False
Don't Say No Tonight,Eugene Wilde,0RrDVgg5a8CuIshK0Wnpjv,4qMOV79GpJ9vkGm3rfTOWX,34,313825,5.23,All time,Don't Say No Tonight - Single,2010-10-19,False
Luv U Better,LL COOL J,1P8IfcNKwrkQP5xJWuhaOC,7cGcyNd7NVvDIwCAQSbJLI,54,286906,4.78,All time,10,2002-10-08,False
Okay,Adekunle Gold,2IK173RXLiCSQ8fhDlAb3s,2Iv3GHM3xFKIPbYSnhJAXO,61,186299,3.1,All time,"Afro Pop, Vol. 1",2020-08-21,True
Big Thug Boys,Babyboy AV,5p1CMGIDFgalZneW5P1EwX,64f7mZuEkeNeKOuzSjrIGm,56,171998,2.87,All time,Big Thug Boys,2021-06-04,True
Searching For Someone,Eli Brown,5lVNSw2GPci8kebrAQpZqU,747bZjBiDQTBCPT9jyzzZL,23,340157,5.67,All time,Searching for Someone,2019-07-12,False
When Somebody Loves You Back,Teddy Pendergrass,68kACMx6A3D2BYiO056MeQ,7wJeXISGGTLVv2kBPtCJHw,55,296880,4.95,All time,Life Is A Song Worth Singing (Expanded Edition),1978-06-02,False
Oh Qué Será?,Willie Colón,7x5Slu7yTE5icZjNsc3OzW,2n1MTLCis6qPSDKdr5XSDI,72,304200,5.07,All time,Greatest Hits,2008-02-26,False
